Loopbaan;Nummer studiedeel;Omschrijving;Toetsdatum;Offic. cijfer;Datum verlopen geldigheidsduur
Bachelor;DMCI-ICT 2014JO__PS;Job Orientation presentie;05/11/14;vold.;
Bachelor;DMCI-ICT 1013DB2_TP;Databases 2 practicum;20/06/14;vold.;
Bachelor;DMCI-ICT 1013DB2_TS;Databases 2 tentamen;20/06/14;8,2;
Bachelor;DMCI-ICT 1013PAD1PD;PAD: Product;20/06/14;8,3;
Bachelor;DMCI-ICT 1013PAD2TM;PAD: Proces mondeling;20/06/14;8;
Bachelor;DMCI-ICT 1013PAD3TM;PAD: Methoden en technieken tm;20/06/14;10;
Bachelor;DMCI-ICT 1013USIATD;User Interaction tentamen;20/06/14;7,5;
Bachelor;DMCI-ICT 1013USIATP;User Interaction practicum;20/06/14;vold.;
Bachelor;DMCI-ICT 1013CSK_TM;Communication Skills mondeling;16/06/14;7,5;
Bachelor;DMCI-ICT 1013ESKNTS;Essential Skills Nederlands ts;07/04/14;8;
Bachelor;DMCI-ICT 1013INF_TD;Infrastructure tentamen;07/04/14;7,5;
Bachelor;DMCI-ICT 1013INF_TP;Infrastructure practicum;07/04/14;vold.;
Bachelor;DMCI-ICT 1013OOP2TP;Object Oriented Programming 2p;07/04/14;8,5;
Bachelor;DMCI-ICT 1013PAD2TD;PAD: Proces SCRUM;07/04/14;9;
Bachelor;DMCI-ICT 1013PAD3TD;PAD: Methoden & technieken UML;07/04/14;6,3;
Bachelor;DMCI-ICT 1013RSK_PA;Research Skills pa;07/04/14;9;
Bachelor;DMCI-ICT 1013OOP1TP;Object Oriented Programming 1p;10/03/14;9,5;
Bachelor;DMCI-ICT 1013ESKWTD;Essential Skills Wiskunde td;20/02/14;9,7;
Bachelor;DMCI-ICT 1013SIM_PR;Domeinproject pr;03/02/14;6;
Bachelor;DMCI-ICT 1013DB__TP;Databases practicum;31/01/14;vold.;
Bachelor;DMCI-ICT 1013DB__TS;Databases tentamen;31/01/14;9;
Bachelor;DMCI-ICT 1013OOP1TP;Object Oriented Programming 1p;31/01/14;3,5;
Bachelor;DMCI-ICT 1013PSK_TM;Project Skills mondeling;27/01/14;6;
Bachelor;DMCI-ICT 1013PFYSPD;PFYS: Product;13/01/14;7,5;
Bachelor;DMCI-ICT 1013PFYST1;PFYS: Proces;13/01/14;7;
Bachelor;DMCI-ICT 1013PFYST2;PFYS: Methoden en technieken;13/01/14;8;
Bachelor;DMCI-ICT 1013ESKETD;Essential Skills English toets;08/11/13;6;
Bachelor;DMCI-ICT 1013BUS_TS;Business tentamen;05/11/13;6,8;
Bachelor;DMCI-ICT 1013PRO_TP;Programming practicum;01/11/13;10;
Bachelor;DMCI-ICT 1013LSK_OP;Learning Skills op;28/10/13;10;
